sentence_id,text,label_openai,basis_openai,label_gemini,basis_gemini
Z003917,"自家身上道理都具,不曾外面添得來。",N,道理가 일상적 용법으로 쓰임,N,"道理는 '도리, 이치'의 일상적 용법"
Z003918,"然聖人教人,須要讀這書時,盖為自家雖有這道理,須是經歴過方得。",N,道理가 일상적 용법으로 쓰임,N,"道理는 '도리, 이치'의 일상적 용법"
Z003920,"學問無賢愚、無小大、無貴賤,自是人合理㑹底事。",N,合理㑹가 일상적 용법으로 쓰임,N,理會는 '이해하다'는 관용적 용법
Z003921,"且如聖賢不生,無許多書册,無許多發明,不成不去理㑹也,只當理㑹。",N,理㑹가 일상적 용법으로 쓰임,N,理會는 '이해하다'는 관용적 용법
Z003925,"大抵學者讀書,務要窮究道問學是大事,要識得道理,去做人。",N,道理가 일상적 용법으로 쓰임,N,"道理는 '도리, 이치'의 일상적 용법"
Z003926,"大凡看書,要看了又看,逐段逐句,逐字理㑹,仍參諸解傳,説教通透,使道理與自家心相肯,方得。",N,理㑹는 이해하다 의미로 형이상학적 아님,N,"理會, 道理는 형이상학적 理가 아님"
Z003927,"讀書要自家道理,浹洽透徹。",N,道理는 일상적 의미로 능동성 언급 없음,N,道理는 형이상학적 理가 아님
Z003928,"杜元凱云:""優而柔之,使自得之;厭而飫之,使自趨之,若江海之浸、膏澤之潤,渙然氷釋,怡然理順,然後為得也。",N,怡然理順은 일상적 상태 묘사로 능동성 아님,N,理順은 형이상학적 理가 아님
Z003930,"讀書,以觀聖賢之意,因聖賢之意,以觀自然之理。",N,自然之理는 형이상학적 원리라 보기 어려움 관용어,C,자연지리(自然之理)는 존재를 언급하나 작용 여부 불분명
Z003937,"讀書,須是看著它那縫罅處,方尋得道理透徹。",N,道理透徹는 이해·통찰 의미로 능동성 없음,N,道理는 형이상학적 理가 아님
Z003940,"文字大節目,痛理㑹三五處後,當迎刄而解。",N,痛理㑹는 이해하다 의미로 능동성 아님,N,理會는 형이상학적 理가 아님
Z003944,"讀書,須是窮究道理徹底,如人之食,嚼得爛,方可嚥下,然後有補。",N,窮究道理는 탐구 의미로 능동성 아님,N,道理는 형이상학적 理가 아님
Z003963,"若是讀此書,未曉道理,雖不可急迫,亦不放下猶可也。",N,未曉道理는 이해하지 못함 의미로 능동성 아님,N,道理는 형이상학적 理가 아님
Z003970,"若只恁地等閒看過了,有甚滋味?大凡文字,有未曉處,須下死工夫,直要見得道理是自家底方住。",N,見得道理는 이해하다 의미로 능동성 아님,N,道理는 형이상학적 理가 아님
Z003975,"讀書看義理,須是胸次放開,磊落明快,恁地去。",N,義理는 도리·의미로 형이상학적 아님,N,義理는 형이상학적 理가 아님
Z003979,"今且放置閒事,不要閒思量,只專心去玩味義理,便㑹心精,心精便㑹熟。",N,義理는 형이상학적 理 아님,N,義理는 형이상학적 원리가 아닌 '의미와 이치'의 일상적 용법
Z003980,"讀書放寛著心,道理自㑹出來。",N,道理는 일상적 도리 의미,N,"道理는 형이상학적 원리가 아닌 '도리, 이치'의 일상적 용법"
Z003981,"若憂愁迫切,道理終無縁得出來。",N,道理는 일상적 도리 의미,N,"道理는 형이상학적 원리가 아닌 '도리, 이치'의 일상적 용법"
Z003992,"大凡看文字,少看熟讀,一也;不要鑚研立説,但要反覆體驗,二也;埋頭理㑹,不要求效,三也。",N,理㑹는 이해·체험 의미,N,理㑹는 '이해하다'는 어휘적 용법
Z003999,"讀書,只逐段逐些子細理㑹。",N,理㑹는 이해·체험 의미,N,理㑹는 '이해하다'는 어휘적 용법
Z004002,"假饒讀得十遍,是讀得十遍,不曾理㑹得底書耳。",N,理㑹는 이해·체험 의미,N,理㑹는 '이해하다'는 어휘적 용법
Z004006,"如㑹讀得二百字,只讀得一百字,却於百字中,猛施工夫理㑹,子細讀誦,教熟。",N,理㑹는 이해·체험 의미,N,理㑹는 '이해하다'는 어휘적 용법
Z004007,"如此不㑹記性人自記得,無識性人亦理㑹得。",N,理㑹는 이해·체험 의미,N,理㑹는 '이해하다'는 어휘적 용법
Z004034,"某最不要人摘撮看文字,須是逐一段一句理㑹。",N,理㑹는 이해·체험 의미,N,理㑹는 '이해하다'는 어휘적 용법
Z004036,"今且須逐段子細玩味,反來覆去,或一日或兩日,只看一段,則這一段便是我底脚踏,這一段了,又看第二段,如此逐旋捱去,捱得多後,却見頭頭道理都到這工夫,須用行思坐想,或将已曉得者,再三思省,却自有一個曉悟處出,不容安排也書之句法義理,須只是如此解説。",N,道理는 일상적 도리 의미,N,道理와 義理는 형이상학적 원리가 아닌 일상적 용법
Z004046,"熟讀了自精熟,精熟後理自見得。",N,理自見得는 이해 의미의 '理會' 변형임,A,理自見得: 理가 스스로 드러남
Z004053,"先難而後獲,先事而後得,皆是此理。",C,"皆是此理는 理 존재 언급, 작용 언급 없음",N,此理: 어휘적 용법
Z004062,"讀這一句,且理㑹這一句;讀這一章,且理㑹這一章。",N,理㑹는 '이해하다' 의미의 관용어임,N,理會: 이해하다
Z004092,"讀書理㑹,一件便要精,這一件看得不精,其他文字,便亦都草草看了,一件看得精,其它亦易看山谷帖説讀書法甚好。",N,讀書理㑹는 '이해하다' 의미의 관용어임,N,理會: 이해하다
Z004093,"學者貪做工夫,便看得義理不精。",N,"義理不精은 '도리, 의미'의 일상적 용법임",N,義理: 어휘적 용법
Z004096,"非無可疑,理㑹未到,不知有疑爾。",N,理㑹未到는 '이해' 의미의 관용어임,N,理會: 이해하다
Z004099,"再去理㑹,須沈潜玩索,䆒極至處可也。",N,再去理㑹는 '다시 이해하다' 의미임,N,理會: 이해하다
Z004100,"盖天下義理,只有一個是與非而已。",C,"義理只有一個은 理 존재 언급, 작용 언급 없음",N,義理: 어휘적 용법
Z004102,"既有著落,雖不再讀,自然道理浹洽,省記不忘。",N,"自然道理는 도리, 이치의 일상적 용법임",N,道理: 어휘적 용법
Z004117,"若讀得熟,而又思得精,自然心與理一,永逺不忘。",C,"理一는 理 존재 언급, 작용 여부 불명",C,心與理一: 理가 마음과 하나됨
Z004122,"若移此心與這様資質,去講究義理,那裡及得來是知。",N,義理가 일상적 개념으로 쓰임,N,理會: 이해하다는 관용적 용법
Z004138,"講論一篇書,須是理㑹得透,把這一篇書,與自家滚作一片,方是去了本子,都在心中,皆説得去方好。",N,理㑹가 이해·파악 의미로 사용됨,N,理會: 이해하다는 관용적 용법
Z004146,"看文字,於理㑹得了處,更能看過尤妙。",N,於理㑹는 이해의 의미로 보임,N,理會: 이해하다는 관용적 용법
Z004161,"為學讀書,須是耐煩細意去理㑹,切不可粗心。",N,去理㑹는 이해·파악 행위 의미,N,理會: 이해하다는 관용적 용법
Z004163,"未見道理時,恰如數重物色,包裹在裏許,無縁可以便見得。",N,道理가 일상적 도리 의미,N,道理: 일상적 용법
Z004165,"觀書初得味,即坐在此處,不復精研,故㸔義理,則汗漫而不别白,遇事接物,則頽然而無精神。",N,義理가 일상적 도리·의미,N,義理: 학문 분야의 용법
Z004166,"讀書,只要將理㑹得處,反覆又㸔。",N,理㑹가 이해·파악 의미,N,理會: 이해하다는 관용적 용법
Z004173,"看書,非止看一處,便見道理。",N,道理가 일상적 도리 의미,N,道理: 일상적 용법
Z004175,"讀書著意玩味,方見得義理從文字中迸出。",N,義理가 일상적 도리 의미,N,義理: 학문 분야의 용법
Z004176,"讀得通貫後,義理自出。",N,義理가 일상적 도리 의미,N,義理: 학문 분야의 용법
Z004182,"况於義理,前輩説得恁地,雖是易曉,但亦未解便得其意。",N,"義理는 형이상학적 원리 아님, 관용어법임",N,義理는 형이상학적 원리가 아닌 '의미'의 일상적 용법
Z004192,"今之始學者,不知此理,初時甚鋭,漸漸懶去,終至都不理㑹了。",N,"理가 '이해하다' 의미로 쓰임, 관용어법임",N,理會는 '이해하다'는 어휘적 용법
Z004208,"某記舅氏云:""當新經行時,有一先生教人,極有條理。",N,"條理는 일상적 어휘, 형이상학적 理 아님",N,"條理는 '조리, 질서'의 일상적 용법"
Z004210,"初入學,只看一書,讀了理會得多了,方看第二件,毎件須要貫穿,從頭到尾,皆有次第。",N,"理會는 '이해하다' 의미, 관용어법임",N,理會는 '이해하다'는 어휘적 용법
Z004212,"如刑名度數也,各理㑹得些;天文地理也,曉得些;五運六氣也,曉得些;如《素問》等書也,畧理㑹得。",N,"略理는 '대략 이해' 의미, 형이상학적 理 아님",N,理會는 '이해하다'는 어휘적 용법
Z004222,"纔把書來讀,便先立箇意思,要討新竒,都不理㑹他本意著實,纔討得新竒,便準擬作時文,使下梢㺯得熟。",N,"不理會는 '무시하다' 의미, 형이상학적 理 아님",N,理會는 '이해하다'는 어휘적 용법
Z004231,"中年以後之人,讀書不要多,只少少玩索,自見道理。",N,"道理는 일상적 의미, 형이상학적 理 아님",N,"道理는 '도리, 이치'의 일상적 용법"
Z004233,"大槩路脈如此,若邊旁四畔也,未易理㑹得。",N,"未易理會는 '이해하기 어렵다' 의미, 형이상학적 理 아님",N,理會는 '이해하다'는 어휘적 용법
Z004236,"讀書窮理,當體之於身。",C,"讀書窮理는 理 존재 언급, 작용 여부 불명확함",C,窮理는 '이치를 궁구하다'는 의미로 능동/수동 미결정
Z004242,"某要得人只就讀書上,體認義理,日間常讀書,則此心不走作,或只去事物中滚,則此心易得汨沒。",N,"義理는 형이상학적 원리 아님, 관용어법임",N,義理는 형이상학적 원리가 아닌 '의미'의 일상적 용법
Z004243,"知得如此,便就讀書上體認義理,便可喚轉來。",N,義理가 일상적 개념으로 쓰임,N,義理는 '이해하다'의 목적어로 사용됨
Z004244,"本心陷溺之久,義理浸灌未透,且宜讀書窮理,常不間斷,則物欲之心,自不能勝,而本心之義理,自安且固矣。",N,義理가 일상적 개념으로 쓰임,N,義理는 '이해하다'의 목적어로 사용됨
Z004251,"故學者且於静處,收拾敎意思在裏,然後虚心去看,則其義理未有不明者也。",N,義理가 일상적 개념으로 쓰임,N,義理는 '이해하다'의 목적어로 사용됨
Z004254,"學者讀書,多緣心不在,故不見道理。",N,道理가 일상적 개념으로 쓰임,N,道理는 '이해하다'의 목적어로 사용됨
Z004257,"心不定,故見理不得。",N,理가 일상적 개념으로 쓰임,N,理는 '이해하다'의 목적어로 사용됨
Z004262,"讀書須是要身心都入在這一段裏靣,更不問外靣有何事,方見得一段道理出。",N,道理가 일상적 개념으로 쓰임,N,道理는 '이해하다'의 목적어로 사용됨
Z004263,"如博學而篤志,切問而近思,如何却説個仁在其中?盖自家能常常存得此心,莫教走作,則理自然在其中。",C,"理가 존재함만, 능동·수동 불명확",C,理가 '존재한다'고 서술되나 능동/수동 불분명
Z004267,"不若先涵養夲原,且將已熟底義理玩味,待其浃洽,然後去看書,便自知只是如此。",N,義理가 일상적 개념으로 쓰임,N,義理는 '이해하다'의 목적어로 사용됨
Z004272,"凡人看文字,初看時,心尚要走作道理,尚見得未定,猶沒柰他何?到看得定時,方入規矩,又只是在印板上靣説,相似都不活,不活則受用不得。",N,道理가 일상적 개념으로 쓰임,N,道理는 '이해하다'의 목적어로 사용됨
Z004274,"若只恁生記去,這道理便死了。",N,道理가 일상적 개념으로 쓰임,C,道理가 '죽는다'고 서술되나 능동/수동 불분명
Z004277,"讀書閒暇,且静坐,教他心平氣定,見得道理,漸次分曉。",N,道理가 일상적 의미로 사용됨,N,道理는 '도리'라는 일상적 용법
Z004278,"(《季札錄》云:""庶幾心平/氣和,可以思索義理。",N,義理가 일상적 의미로 사용됨,N,義理는 '의리'라는 일상적 용법
Z004281,"人只是一箇心做本,須存得在這裏,識得他條理脉絡,自有貫通處。",N,條理가 일상적 의미로 사용됨,N,條理는 '조리'라는 일상적 용법
Z004286,口中讀則心中閒而義理自出。,N,義理가 일상적 의미로 사용됨,N,義理는 '의리'라는 일상적 용법
Z004296,"""虚心則見道理明切已,自然體認得出。",N,道理가 일상적 의미로 사용됨,N,道理는 '도리'라는 일상적 용법
Z004297,"聖人言語,皆天理自然,本坦易明白在那裏,只被人不虚心去看,只管外靣捉摸,及看不得,便將自已身上一般意思説出,把做聖人意思。",C,天理自然이라 하나 능동·수동 불명확,N,天理는 '천리'라는 일상적 용법
Z004304,"盖既不得正理,又枉費心力,不若虚心静看,即涵養究索之功,一舉而兩得之也。",N,正理가 일상적 의미로 사용됨,N,正理는 '정리'라는 일상적 용법
Z004305,"大抵義理,須是且虚心,随他本文正意看。",N,義理가 일상적 의미로 사용됨,N,義理는 '의리'라는 일상적 용법
Z004309,"""再問所説尋求義理,仍須虚心觀之,不知如何是虚心?""曰:""須退一歩思量。",N,義理가 일상적 의미로 사용됨,N,義理는 '의리'라는 일상적 용법
Z004319,"如觧説聖經,一向都不有,自家身已全然虚心,只把他道理,自看其是非,恁地看文字,猶更自有牽於舊習,失㸃檢處,全然把一已私意,去看聖賢,　如何看得出?",N,道理가 일상적 의미로 사용됨,N,道理는 '도리'라는 일상적 용법
Z004336,"讀書不可只專就紙上求理義,須反來就自家身上,(推究。",N,文맥상 '理義'는 일상적 의미로 보임,N,求理義는 '이치와 의리'를 구한다는 의미
Z004337,"秦、漢以後,無人説到此,亦只是一向去書册上求,不就自家身上理㑹。",N,'理㑹'가 이해·통찰 의미로 사용됨,N,理會는 '이해하다'는 의미
Z004341,"但古人讀書,將以求道,不然,讀作何用?今人不去這上理㑹道理,皆以渉獵該博為能,所以有道學、俗學之别。",N,'理㑹道理'가 도리 이해 의미로 보임,N,理會道理는 '도리를 이해하다'는 의미
Z004348,"如世上一等人説道,不須就書册上理㑹。",N,'書册上理㑹'는 도리 이해 의미,N,理會는 '이해하다'는 의미
Z004350,"然一向就書册上理㑹,不曾體認著自家身,已,也不濟事。",N,'理㑹'가 도리 이해 의미로 쓰임,N,理會는 '이해하다'는 의미
Z004354,"如世上一等説話,謂不消得讀書,不消理㑹,别自有箇覺處,有箇悟處,這箇是不得。",N,'理㑹'가 깨달음·이해 의미임,N,理會는 '이해하다'는 의미
Z004355,"若只恁地讀書,只恁地理㑹,又何益?""",N,'理㑹'가 이해·통찰 의미로 사용됨,N,理會는 '이해하다'는 의미
Z004358,"讀書之法,有大本大原處,有大綱大目處,又有逐事上理㑹處,又其次則觧釋文義。",N,'理㑹'가 문장 해석·이해 의미임,N,理會는 '이해하다'는 의미
Z004360,"或問讀書未知統要曰:""統要》如何便㑹知得?近來學者有一種,則舎去册子,却欲於一言半句上,便要見道理,又有一種,則一向汎濫,不知歸著處,此皆非知。",N,'道理'가 도리·이치 의미로 쓰임,N,見道理는 '도리를 깨닫다'는 의미
Z004361,"學者須要熟看熟思,久久之間,自然見箇道理,四停八當,而所謂統要者,自在其中矣。",N,'道理'가 도리·이치 의미로 쓰임,N,見箇道理는 '도리를 깨닫다'는 의미
Z004363,"今日之看,所以為他日之用,須思量所以看者何為,非只是空就言語上,理㑹得多而已也。",N,"理㑹=이해하다, 형이상학적 의미 아님",N,理會는 '이해하다'는 관용적 용법
Z004369,"若得一書,須便讀便思、便行,豈可又安排停待而後下手?且如得一片紙,便來一片紙上道理,行之可也。",N,"紙上道理=일상적 용법, 형이상학 아님",N,道理는 '도리'라는 일상적 용법
Z004373,"讀書而講究其義理,判别其是非,臨事即此理。",N,"義理, 道理 등 일상적 의미로 사용됨",N,"義理, 此理는 '의리', '이치'의 일상적 용법"
Z004374,"真理㑹得底,便道真理㑹得;真理㑹不得底,便道真理㑹不得。",N,"真理㑹=이해하다, 형이상학적 의미 아님",N,理會는 '이해하다'는 관용적 용법
Z004375,"真理㑹得底,固不可忘。",N,"真理㑹=이해하다, 형이상학적 의미 아님",N,理會는 '이해하다'는 관용적 용법
Z004376,"真理㑹不得底,須看那處有礙,須記那緊要處,常勿忘。",N,"真理㑹=이해하다, 형이상학적 의미 아님",N,理會는 '이해하다'는 관용적 용법
Z004381,"但却又添了一重事,不若且依文看,逐處各自見箇道理,久之自然貫通,不須如此費力也。",N,"箇道理=일상적 의미, 형이상학 아님",N,道理는 '도리'라는 일상적 용법
Z004382,"學者理㑹文義,只是要先理㑹難底,遂至於易者,亦不能曉學記》曰:""善問者,如攻堅木,先其易者,後其節目。",N,"理㑹=이해하다, 형이상학적 의미 아님",N,理會는 '이해하다'는 관용적 용법
Z004383,"""所謂""攻瑕則堅者瑕,攻堅則瑕者堅不知道理好處,又却多在平易處。",N,"不知道理=이해하지 못함, 형이상학 아님",N,道理는 '도리'라는 일상적 용법
Z004413,"凡讀書,先須曉得他底言詞了,然後看其説於理當否。",N,"説於理當否=도리에 맞는지 여부, 형이상학 아님",N,理는 '이치'라는 일상적 용법
Z004414,"當於理則是,背於理則非。",C,理가 옳고 그름 판단 대상일 뿐 작용 언급 없음,C,理가 옳고 그름의 기준임을 말하나 작용 여부 없음
Z004427,"且漸漸思量,若一下便要理㑹得,也,無此理。",N,"理㑹=이해하다, 어휘적 용법임",N,理會는 '이해하다'는 관용적 용법
Z004441,"到理㑹不得處,便當濯去舊見,以來新意,仍且只就本文看之。",N,"理㑹不得=이해하지 못함, 어휘적 용법임",N,理會는 '이해하다'는 관용적 용법
Z004458,"問:""看理多有疑處。",N,"看理多有疑處=理를 보는 데 의문, 어휘적 용법임",C,理를 '보다'는 의미로 쓰였으나 작용 여부 없음
Z004480,"須依次序,如法理㑹,一經通熟,他書亦易看。",N,"如法理㑹=법에 따라 이해함, 어휘적 용법임",N,理會는 '이해하다'는 관용적 용법
Z004481,"聖人千言萬語,只是説箇當然之理,恐人不曉,又筆之于書。",C,當然之理는 원리 의미이나 능동·수동 불명확함,C,理가 '당연함'의 의미로 쓰였으나 작용 여부 없음
Z004486,"讀六經時,只如未有六經,只就自家身上討道理,其理便易曉。",C,"其理便易曉=理가 이해 대상, 작용 언급 없음",C,道理가 '쉽게 밝혀진다'고 하나 능동적 작용 아님
Z004487,"讀書只就一直道理看,剖析自分曉,不必去偏曲處看易》有箇隂陽詩》有箇邪正書》有箇治亂,皆是一直路逕,可見别無嶢﨑。",C,"一直道理는 근본 원리 의미, 작용 언급 없음",C,道理가 '분명해진다'고 하나 능동적 작용 아님
Z004489,"許多道理,孔子恁地説一畨,孟子恁地説一畨,子思又恁地説一畨,都恁地懸空掛在那裏,自家須自去體認始得。",N,"懸空掛在=理가 매달려 있음, 어휘적·비유적 용법임",C,道理가 '매달려 있다'고 하나 작용 여부 없음
Z004504,"人做功課,若不專一,東看西看,則此心先已散漫了,如何看得道理出?須是看《論語》,專只看《論語》,看《孟子》,專只看《孟子》,讀這一章,更不看後章;讀這一句,更不得看後句;這一字理㑹未得,更不得看下字。",N,"理㑹未得=이해하지 못함, 어휘적 용법임",N,理會는 '이해하다'는 관용적 용법
Z004509,"且如一章三句,先理㑹上一句,待通透,次理㑹第二句、第三句,待分曉,然後將全章反覆納繹玩味,如未通透,却看前軰講觧,更第二畨讀過,須見得身分上有長進處,方為有益。",N,理㑹는 '이해'의 관용적 용법임.,N,理會는 '이해하다'는 의미의 동사
Z004525,"六經是三代以上之書,曽經聖人手,全是天理。",C,天理가 존재함을 서술하나 작용 여부 언급 없음.,C,天理가 '전부이다'는 존재론적 서술
Z004526,"三代以下文字,有得失,然而天理却在這邊自若也。",C,天理가 '자연스러움'으로 서술되나 능동성 불명.,C,天理가 '자연스럽게 존재한다'는 서술
Z004528,"向時有一截學者,貪多務得,要讀《周禮》諸史,本朝典故,一向盡要理㑹得許多沒緊要底工夫,少刻身已,都自恁地,顛顛倒倒,沒頭放處,如喫物事相似,將甚麽雜物事,不是時節,一頓都喫了,便被他撐腸拄肚,沒柰何他?",N,文中 '理㑹'는 '이해' 의미의 관용적 용법.,N,理會는 '이해하다'는 의미의 동사
Z004531,"理明後,便讀申、韓書,亦有得。",N,'理明'은 '이해' 의미의 관용적 용법.,C,理가 '밝혀진 후'라는 상태 서술
Z004533,"讀書理㑹道理,只是將勤苦捱將去,不觧得不成。",N,'理㑹道理'는 '이해 도리'의 관용적 용법.,N,理會는 '이해하다'는 의미의 동사
Z004540,"向時不理㑹得《孟子》,以其章長故也。",N,'不理㑹'는 '이해하지 못함'의 관용적 용법.,N,理會는 '이해하다'는 의미의 동사
Z004553,"""久之又曰:""須是將本文熟讀,字字咀嚼,教有味,若有理㑹不得處,深思之又不得,然後却將註觧看,方有意味。",N,'理㑹不得處'는 '이해하지 못하는 부분' 의미.,N,理會는 '이해하다'는 의미의 동사
Z004567,"若學者未曾子細理㑹,便與他如此説,豈不誤他?""某聞之悚然,始知前日空言無實不濟事。",N,'理㑹'는 '이해'의 관용적 용법임.,N,理會는 '이해하다'는 의미의 동사
Z004570,"凡人讀書,若窮得到道理透處,心中也替他快活。",N,'道理'는 일상적 의미의 '도리'임.,N,道理는 '도리'라는 일상적 용법
Z004576,"經既通,自無事於觧,借經以通乎理耳。",C,'借經以通乎理' 理의 작용 여부 불명,N,理耳는 '이치일 뿐'으로 어휘적 용법
Z004577,理得則無俟乎經。,C,'理得則無俟乎經' 理의 능동성 명확치 않음,N,理得은 '이치를 터득하다'는 어휘적 용법
Z004615,"(㽦○《必大錄》此下/云,古人似未嘗理)(㑹文義。",U,문장 단편적 의미 파악 불가,N,理會는 '이해하다'는 어휘적 용법
Z004622,"所謂""聖雖學作兮,所貴者資便儇皎厲兮,去道逺而盖此理醲厚,非便儇皎厲不克負荷者所能當。",C,'此理醲厚' 理의 작용 언급 없음,C,理가 '두텁다'고 서술되나 작용 여부 불분명
Z004625,"横渠謂""義理深沉,方有造,非淺易輕浮所可得也此語最佳。",C,'義理深沉' 理의 능동·수동 불명확,C,義理가 '깊다'고 서술되나 작용 여부 불분명
Z004627,"所得只是這些道理,别無所有,故謂之徳孤。",C,"'道理' 존재 언급, 작용 불명확",N,道理는 '도리'라는 어휘적 용법
Z004632,"今人讀書未多,義理未至融㑹處,若便去看史書,考古今治亂、理㑹制度、典章,譬如作陂塘以溉田,須是陂塘中水已滿,然後決之,則可以流注,滋殖田中禾稼。",C,'理㑹制度' 理의 작용 여부 불명확,N,義理는 '의리'라는 어휘적 용법
Z004634,"讀書既多,義理已融㑹,胸中尺度,一一已分明,而不看史書,考治亂、理㑹、制度、典章,則是猶陂塘之水已滿,而不決以漑田。",C,'理㑹、制度' 理의 능동성 불명확,N,義理는 '의리'라는 어휘적 용법
Z004635,"若是讀書未多,義理未有融㑹處,而汲汲焉以看史為先務,是猶決陂塘一勺之水以漑田也,其涸也,可立而待也。",C,'義理未有融㑹處' 理의 작용 명확치 않음,N,義理는 '의리'라는 어휘적 용법
Z004643,"又有一般人,都不曾讀書,便言我已悟得道理,如此便是惻隠之心,如此便是羞惡之心,如此便是是非之心,渾是一箇私意,如近時祧廟可見。",N,'道理' 일상적 의미로 사용됨,N,道理는 '도리'라는 어휘적 용법
Z004663,"""又問致堂管見》,初得之甚喜,後見《南軒集》中云'病敗不可言又以為專為檜設,豈有言天下之理,而專為一人者?""曰:""儘有好處,但好惡不相掩爾。",N,文맥상 '天下之理'는 형이상학적 원리 아님,N,天下之理는 형이상학적 원리가 아님
Z004668,"讀史,當觀大倫理、大機㑹、大治亂得失。",N,'大倫理' 등은 형이상학적 '理' 아님,N,大倫理는 형이상학적 원리가 아님
Z004670,"觀其是,求其不是,觀其不是,求其是,然後便見得義理。",N,'義理'는 도덕적 의미로 형이상학적 아님,N,義理는 형이상학적 원리가 아님
Z004671,"史且如此看讀去,待知首尾稍熟後,却下手理㑹,讀書皆然。",N,"'理㑹'은 독서 방법, 형이상학적 의미 아님",N,理會는 '이해하다'는 의미
Z004674,"問《觀史》曰:""只是以自家義理斷之。",N,"'義理'는 도덕적 판단 의미, 형이상학적 아님",N,義理는 형이상학적 원리가 아님
Z004708,"盖静則心虚,道理方看得出。",C,'道理方看得出' 능동·수동 불명확,N,道理는 형이상학적 원리가 아님
Z004758,"大抵是且收斂得身心在這裏,便已有八九分了,却看道理,有窒礙處,却於這處理㑹。",C,'看道理'·'理㑹' 능동·수동 판단 불가,N,道理와 理會는 형이상학적 원리가 아님
Z004759,"為學且要專一理㑹這一件,便只且理㑹這一件。",N,"'理㑹'은 독서 방법, 형이상학적 아님",N,理會는 '이해하다'는 의미
Z004770,"若收斂都在義理上安頓,無許多胡思亂想,則乆乆自於物欲上輕,于義理上重。",N,"'義理'는 도덕적 의미, 형이상학적 아님",N,義理는 형이상학적 원리가 아님
Z004771,"須是較義理心重於物欲如秤,令有低昻,即見得義理自端的,自有欲罷不能之意,其於物欲,自無暇及之矣。",N,"'義理'는 도덕적 의미, 형이상학적 아님",N,義理는 형이상학적 원리가 아님
Z004773,"今於日用間空閒時,收得此心在這裏截然,這便是喜怒哀樂未發之中,便是渾然天理。",C,理가 天理로 서술되나 능동·수동 불명확함,C,천리가 '渾然'하다고 서술하나 능동/수동 불분명
Z004774,"事物之來,随其是非,便自見得分曉,是底便是天理,非底便是逆天理。",C,"理가 天理로 존재만 서술, 작용 언급 없음",C,천리가 '시비'를 가리는 기준임을 말하나 작용 여부 불분명
Z004776,"人若要洗刷舊習都浄了,却去理㑹此道理者,無是理。",N,理㑹가 '이해하다' 의미로 사용됨,N,'理會'는 '이해하다'는 관용적 용법
Z004777,"只是收放心,把持在這裏,便須有箇真心發見,從此便去窮理。",N,窮理가 '이치를 탐구하다' 의미임,N,'窮理'는 '이치를 궁구하다'는 관용적 용법
Z004797,"韓愈論孟子之後,不得其傳,只為後世學者,不去心上理㑹。",N,心上理㑹가 '이해하다' 의미임,N,'理會'는 '이해하다'는 관용적 용법
Z004802,"天地之理,固是抑遏隂氣,勿使常勝。",A,天地之理가 抑遏隂氣 작용 주체로 표현됨,A,천지의 이치가 '음기를 억압한다'고 작용을 서술
Z004838,"只須常恁地執持,待到急廹時,又旋理㑹。",N,理㑹가 '이해하다' 의미로 쓰임,N,'理會'는 '처리하다'는 관용적 용법
Z004846,"要在精思明辨,使理明義精,而操存涵養,無須㬰離無毫髮間,則天理常存,人欲消去,其庶幾矣哉!",C,理가 明義精으로 서술되나 능동·수동 불명확,A,천리가 '항상 존재한다'고 서술하여 능동적 존재 강조
Z004849,"人心本明,只被物事在上盖蔽了,不曾得露頭靣,故燭理難。",C,理가 思慮의 이치로 존재하나 작용 불명확함,C,'燭理'는 '이치를 밝히다'는 의미로 작용 여부 불분명
Z004860,"人心無不思慮之理,若當思而思,自不當苦苦排抑,反成不静。",C,理가 思慮의 이치로 존재하나 작용 불명확함,C,사람 마음에 '사려의 이치'가 있다고 하나 작용 여부 불분명
Z004861,"異端之學,以性自私,固為大病,然又不察氣質情欲之偏,率意妄行,便謂無非至理,此尤害事。",N,至理는 형이상학적 원리 아닌 관용어,N,至理는 '지극한 이치'라는 관용적 용법
Z004875,"收拾得自家精神在此,方看得道理盡。",N,道理는 일상적 도리 의미,N,道理는 '도리'라는 일상적 용법
Z004876,"看道理不盡,只是不曽專一。",N,道理는 일상적 도리 의미,N,道理는 '도리'라는 일상적 용법
Z004881,"""聖賢千言萬語,只是教人明天理、滅人欲,天理明,自不消講學。",C,"天理明만 서술, 능동·수동 불명확",A,天理明은 天理가 스스로 밝아지는 능동적 의미
Z004892,"若只恁看,似乎参錯不齊,千頭萬緒,其實只一理。",C,只一理라 하여 능동·수동 언급 없음,C,理가 '하나'임을 진술하나 작용 여부 불분명
Z004893,"道夫曰:""泛泛于文字間,祗覺得異,實下工夫,則貫通之理始見。",C,"貫通之理始見, 작용 여부 불명확",C,貫通之理는 '관통하는 이치'로 작용 여부 불분명
Z004906,"問:""二程專教人持敬,持敬在主一,浩熟思之,若能每事加敬,則起居語嘿,在規矩之内,久久精熟,有從心所欲不踰矩之理。",C,"不踰矩之理, 능동·수동 판단 불가",C,不踰矩之理는 '넘지 않는 이치'로 작용 여부 불분명
Z004926,"好惡無節於内,知誘于外,不能反躬,天理滅矣。",A,"天理滅矣, 理가 소멸하는 주체로 표현됨",A,天理滅은 天理가 스스로 소멸하는 능동적 의미
